AI_Assistant_Score,Smart_Workflows_Score,GlassMorphism_Score,PanelUI_Score,ColorGradient_Score,Transparency_Score,CapsuleUI_Score,Product_Sales
6,2,3,5,10,6,7,142.92
3,1,5,2,1,7,0,44.05
10,4,3,5,9,2,8,196.69
7,9,2,6,2,5,6,184.35
4,5,6,10,2,0,2,115.12
6,6,7,9,4,6,7,195.07
9,3,3,9,4,0,6,154.17
2,6,1,2,1,8,10,50.37
6,10,9,6,9,0,7,215.95
10,7,2,2,5,0,5,206.15
10,10,0,1,4,6,8,190.96
7,0,7,9,5,1,4,153.73
4,5,2,3,0,4,2,71.11
3,7,9,7,4,7,2,125.01
7,4,6,8,8,7,0,218.51
7,3,9,6,9,2,7,227.58
2,1,4,0,1,6,1,74.36
5,5,9,2,0,2,2,136.54
4,5,4,8,9,5,7,118.37
1,10,6,0,10,5,7,158.22
7,0,8,8,8,2,10,172.73
5,8,4,7,9,6,3,167.17
1,10,0,0,8,2,3,78.93
4,5,9,5,8,7,4,108.86
0,2,9,4,5,9,5,34.5
9,3,0,5,7,3,4,105.75
5,10,1,9,10,0,6,166.58
8,3,5,4,0,3,1,140.67
0,2,8,5,9,6,6,56.72
10,9,7,4,3,10,9,216.79
10,2,4,10,0,3,6,150.6
9,2,0,4,7,5,0,148.01
2,3,6,3,0,8,6,42.0
6,6,4,2,2,0,4,164.84
3,3,5,2,3,4,2,100.63
8,8,6,3,7,10,2,232.91
2,0,2,8,5,6,3,64.66
4,7,9,1,9,0,1,123.36
2,6,2,8,6,3,1,107.07
6,1,4,0,7,5,0,139.44
4,7,5,0,1,1,4,141.57
8,0,8,4,9,9,3,171.56
6,10,4,5,10,4,10,166.15
1,8,0,5,7,10,9,81.97
3,8,3,2,2,9,1,110.52
8,1,4,6,6,0,2,145.02
1,6,9,8,2,5,6,111.91
9,9,9,10,6,5,6,235.62
8,2,4,9,10,3,3,165.24
9,6,6,7,1,7,4,174.45
4,9,3,5,9,3,4,159.33
1,8,0,7,5,7,5,49.3
3,3,4,4,2,7,8,105.13
6,0,6,7,2,4,1,119.6
7,1,9,9,8,3,4,199.52
2,0,9,3,6,1,2,123.56
0,4,5,9,4,10,3,8.65
3,4,4,7,9,2,9,101.26
1,10,3,9,6,2,5,154.41
7,6,1,1,8,3,7,159.16
3,8,3,4,0,3,0,107.94
1,8,9,8,6,9,9,148.55
5,2,9,3,5,10,7,124.75
5,2,2,10,9,10,10,121.88
9,2,9,5,8,4,6,156.08
3,3,0,0,0,3,0,66.63
5,7,7,8,3,10,1,154.37
1,5,4,0,8,9,2,55.31
9,7,3,4,3,7,0,237.65
1,0,7,3,9,5,8,52.66
9,7,6,2,2,5,7,219.05
3,3,1,5,8,7,1,59.64
7,10,0,1,1,6,8,176.58
6,0,10,2,3,9,6,152.01
8,7,3,4,5,10,8,163.62
7,3,7,8,1,9,5,125.24
4,5,1,1,7,7,5,121.42
1,7,2,9,7,1,10,113.79
4,3,0,7,0,8,3,34.6
7,2,0,1,2,0,9,98.53
9,8,2,10,9,7,9,171.72
8,2,10,4,8,10,1,156.97
8,8,4,6,4,3,6,158.95
0,1,2,7,5,3,4,-17.25
8,1,0,0,3,4,10,125.05
6,1,0,5,9,7,5,101.62
8,5,7,0,1,4,1,117.0
7,2,9,1,10,7,4,169.61
0,8,10,0,7,9,9,126.18
7,3,1,10,10,0,3,149.23
7,0,2,4,5,9,8,129.73
10,3,1,9,4,8,5,126.57
2,0,2,8,8,5,1,59.53
0,4,6,5,0,2,0,16.94
7,3,0,10,4,7,4,179.95
2,7,9,10,5,8,8,127.13
2,7,7,0,4,5,5,120.19
0,6,9,0,5,10,9,91.16
10,2,9,1,5,6,6,238.61
4,0,9,8,6,0,4,148.69
9,0,1,2,3,4,9,143.46
6,10,2,0,10,4,5,182.67
9,2,8,4,7,9,4,153.82
8,5,6,6,6,3,10,199.19
6,6,3,5,8,5,8,155.74
8,5,9,0,6,6,5,198.37
7,5,4,4,2,8,10,169.8
1,5,1,4,2,0,7,42.57
0,2,10,5,7,5,1,113.79
6,5,7,2,4,6,8,145.27
6,7,3,4,3,2,4,67.8
7,10,8,6,7,7,6,207.4
4,10,4,4,5,4,9,138.23
2,1,8,4,1,8,0,49.42
7,4,3,4,3,4,9,116.98
5,0,9,9,10,8,4,129.93
10,0,4,9,3,9,9,152.81
2,4,8,2,5,3,1,54.96
0,2,7,0,5,8,5,64.25
2,3,2,4,0,4,10,70.57
4,2,0,8,7,9,0,117.33
2,0,2,0,5,8,2,21.78
0,0,3,2,2,2,4,12.08
4,4,1,3,8,3,3,96.94
9,5,0,0,1,8,2,175.04
6,2,6,0,10,9,9,130.01
6,8,7,7,7,10,4,195.3
10,4,6,1,9,5,10,165.3
8,7,4,7,2,1,7,155.61
9,0,0,6,4,6,10,127.01
9,4,6,9,5,1,3,144.87
2,2,6,9,9,10,0,77.69
6,0,8,1,5,1,10,95.3
0,3,2,5,3,10,6,61.92
3,4,8,5,2,0,7,61.39
3,6,0,2,3,10,2,96.44
4,0,0,10,0,10,5,78.23
6,2,3,1,3,10,1,112.33
6,1,8,0,0,2,6,112.84
10,8,5,5,0,5,7,240.94
3,9,10,4,9,7,5,144.0
6,5,2,10,5,8,5,180.38
10,9,0,8,4,6,4,197.25
2,2,3,0,10,3,7,66.52
5,7,8,6,3,5,0,180.97
1,7,2,4,10,4,9,102.66
9,1,8,4,2,7,3,105.41
8,5,6,1,0,0,3,157.31
4,6,3,10,5,0,2,141.52
5,1,2,2,1,10,2,105.79
3,10,9,6,7,5,3,186.06
10,9,4,5,9,9,10,240.31
9,1,4,1,4,1,0,135.68
6,9,2,5,6,4,10,149.63
8,0,8,1,9,0,10,163.79
6,7,3,1,1,6,1,145.23
0,0,10,1,7,0,8,31.24
0,8,4,10,1,3,9,72.68
8,10,3,2,3,8,1,217.28
10,5,4,1,0,0,4,143.37
8,6,6,3,4,3,8,143.38
3,9,8,8,8,5,8,163.31
8,6,6,5,0,5,7,164.63
2,9,4,0,8,7,0,190.33
6,2,9,7,10,0,0,159.92
5,1,9,6,7,6,8,121.13
7,8,6,9,5,0,10,189.79
10,7,9,2,6,6,7,204.19
8,9,4,0,2,2,9,140.09
4,6,2,4,0,10,8,84.32
0,8,6,3,4,7,6,107.87
2,3,10,9,1,2,2,79.22
9,3,10,7,4,0,2,190.76
7,0,1,0,7,7,1,115.15
10,7,8,9,10,2,4,249.46
5,2,9,0,8,1,2,134.43
7,6,9,3,1,0,5,186.85
8,1,0,7,2,2,1,103.82
3,1,5,4,2,1,2,38.23
0,6,6,1,0,1,4,92.71
0,5,7,5,7,5,10,61.66
9,2,9,4,5,0,10,203.87
3,8,8,1,7,1,0,153.48
6,9,1,10,10,5,0,157.85
1,5,10,10,8,2,9,83.42
2,9,9,10,4,3,8,122.89
0,9,1,2,2,0,6,80.59
4,5,4,8,4,7,0,109.39
0,0,4,6,4,6,7,26.79
7,3,5,6,4,6,2,128.07
0,9,2,10,2,2,7,110.38
10,5,7,5,10,9,4,278.42
0,5,0,7,9,9,0,52.19
1,10,5,3,3,2,6,85.7
1,4,3,7,8,1,4,79.31
5,0,0,3,9,0,5,116.89
6,7,6,7,8,6,5,184.12
4,4,8,8,1,6,7,95.12
0,4,3,2,7,1,8,37.28
0,6,3,2,7,6,1,65.86
